"sep=	"
Shimmer_85E7_Timestamp_Shimmer_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
Ticks	mV	
502027.77099609375	-1.1823619821503142	
502047.30224609375	-1.0847814184166693	
502066.83349609375	-1.1374061668800712	
502086.36474609375	-1.0933879327839136	
502105.89599609375	-0.9871046925113233	
502125.42724609375	-1.0883634593125335	
502144.95849609375	-1.122885678953212	
502164.48974609375	-1.1080767045112496	
502184.02099609375	-1.121058597690892	
502203.55224609375	-1.1287515714269762	
502223.08349609375	-1.1176208000525794	
502242.61474609375	-1.125530138674991	
502262.14599609375	-1.13045844997467	
502281.67724609375	-1.1081007450541749	
502301.20849609375	-1.1056005285899475	
502320.73974609375	-1.2053928222727166	
502340.27099609375	-1.1001192848029875	
502359.80224609375	-1.1634180343252065	
502379.33349609375	-1.15233534403666	
502398.86474609375	-1.1715437378339455	
502418.39599609375	-1.2177977424221527	
502437.92724609375	-1.2327509601216666	
502457.45849609375	-1.1524795872942115	
502476.98974609375	-1.2529209756359627	
502496.52099609375	-1.1726255622655823	
502516.05224609375	-1.2061861601892503	
502535.58349609375	-1.1651489534158255	
502555.11474609375	-1.1675530077083518	
502574.64599609375	-1.2136387284960821	
502594.17724609375	-1.2235434321812906	
502613.70849609375	-1.1886846449396584	
502633.23974609375	-1.2218605941765222	
502652.77099609375	-1.2035417004674713	
502672.30224609375	-1.241068987973808	
502691.83349609375	-1.2490504482249953	
502711.36474609375	-1.208542133395926	
502730.89599609375	-1.2241925268402727	
502750.42724609375	-1.219937350742501	
502769.95849609375	-1.2647248822122672	
502789.48974609375	-1.2306594328871687	
502809.02099609375	-1.231140243745674	
502828.55224609375	-1.2684752069086083	
502848.08349609375	-1.2516227863179985	
502867.61474609375	-1.2478724616216574	
502887.14599609375	-1.2239040403251695	
502906.67724609375	-1.2648691254698188	
502926.20849609375	-1.2613111251168798	
502945.73974609375	-1.2457568938442343	
502965.27099609375	-1.2823466001764854	
502984.80224609375	-1.2462377047027395	
503004.33349609375	-1.2608303142583746	
503023.86474609375	-1.2184949181669853	
503043.39599609375	-1.247559934563629	
503062.92724609375	-1.258594543766325	
503082.45849609375	-1.2384004877091035	
503101.98974609375	-1.2632343685509009	
503121.52099609375	-1.261335165659805	
503141.05224609375	-1.2127251878649221	
503160.58349609375	-1.2897030063116162	
503180.11474609375	-1.2038061464396492	
503199.64599609375	-1.262513152263143	
503219.17724609375	-1.2118116472337621	
503238.70849609375	-1.209239309140759	
503258.23974609375	-1.1627448991232991	
503277.77099609375	-1.2234713105525148	
503297.30224609375	-1.1899587937146974	
503316.83349609375	-1.2058736331312219	
503336.36474609375	-1.1976998485366324	
503355.89599609375	-1.1813282388045279	
503375.42724609375	-1.2269091081908277	
503394.95849609375	-1.1870498880207405	
503414.48974609375	-1.2166197558188148	
503434.02099609375	-1.2020752273490303	
503453.55224609375	-1.1983249026526892	
503473.08349609375	-1.1850064418720931	
503492.61474609375	-1.1578406283665452	
503512.14599609375	-1.2483532724801627	
503531.67724609375	-1.2021954300636566	
503551.20849609375	-1.2012097678037208	
503570.73974609375	-1.172048589235376	
503590.27099609375	-1.1548355605008873	
503609.80224609375	-1.2219807968911485	
503629.33349609375	-1.120145057059732	
503648.86474609375	-1.306651589073927	
503668.39599609375	-1.1620477233784663	
503687.92724609375	-1.171856264891974	
503707.45849609375	-1.1083651910263528	
503726.98974609375	-1.1027877850676917	
503746.52099609375	-1.090695391976284	
503766.05224609375	-1.111851069750516	
503785.58349609375	-1.1219961788649773	
503805.11474609375	-1.0915368109786683	
503824.64599609375	-1.1778904411662152	
503844.17724609375	-1.1783712520247205	
503863.70849609375	-1.1400746671447755	
503883.23974609375	-1.0639142271575404	
503902.77099609375	-1.043455725128141	
503922.30224609375	-1.0614861323220888	
503941.83349609375	-1.031675859094762	
503961.36474609375	-1.0079959243133774	
503980.89599609375	-1.108389231569278	
504000.42724609375	-0.9802050566917726	
504019.95849609375	-1.1010328254341475	
504039.48974609375	-1.0610053214635835	
504059.02099609375	-1.1012251497775496	
504078.55224609375	-1.104085974385656	
504098.08349609375	-1.108846001884858	
504117.61474609375	-1.1497630059436568	
504137.14599609375	-1.1203133408602088	
504156.67724609375	-1.0243915745884071	
504176.20849609375	-1.182530265950791	
504195.73974609375	-1.0236703583006492	
504215.27099609375	-1.0741074173578522	
504234.80224609375	-1.2156581341018042	
504254.33349609375	-1.1649085479865728	
504273.86474609375	-1.086680621307765	
504293.39599609375	-1.15050826277434	
504312.92724609375	-1.1623121693506444	
504332.45849609375	-1.1828187524658942	
504351.98974609375	-1.1773615492218592	
504371.52099609375	-1.1675530077083518	
504391.05224609375	-1.1717841432631981	
504410.58349609375	-1.1182939352544867	
504430.11474609375	-1.137935058824427	
504449.64599609375	-1.188732726025509	
504469.17724609375	-1.136564747877687	
504488.70849609375	-1.213542566324381	
504508.23974609375	-1.1432720593538355	
504527.77099609375	-1.191833956062868	
504547.30224609375	-1.1281986389396952	
504566.83349609375	-1.2196969453132485	
504586.36474609375	-1.1426229646948534	
504605.89599609375	-1.1472387489365041	
504625.42724609375	-1.125722463018393	
504644.95849609375	-1.2041186734976776	
504664.48974609375	-1.1496428032290305	
504684.02099609375	-1.1703897917735329	
504703.55224609375	-1.1524074656654357	
504723.08349609375	-1.1649806696153486	
504742.61474609375	-1.1637065208403097	
504762.14599609375	-1.1624083315223455	
504781.67724609375	-1.1863767528188331	
504801.20849609375	-1.1649085479865728	
504820.73974609375	-1.1528401954380905	
504840.27099609375	-1.1908723343458574	
504859.80224609375	-1.1843092661272605	
504879.33349609375	-1.1139906780708644	
504898.86474609375	-1.1925311318077005	
504918.39599609375	-1.1774577113935603	
504937.92724609375	-1.1515660466630515	
504957.45849609375	-1.1384158696829323	
504976.98974609375	-1.1661346156757613	
504996.52099609375	-1.1565905201344315	
505016.05224609375	-1.1067063935645096	
505035.58349609375	-1.1477916814237852	
505055.11474609375	-1.1296891526010615	
505074.64599609375	-1.191665672262391	
505094.17724609375	-1.1051437582743675	
505113.70849609375	-1.1076439747385949	
505133.23974609375	-1.196305497046967	
505152.77099609375	-1.1843333066701858	
505172.30224609375	-1.143680748583565	
505191.83349609375	-1.186184428475431	
505211.36474609375	-1.1776019546511118	
505230.89599609375	-1.1477436003379347	
505250.42724609375	-1.1452674244166323	
505269.95849609375	-1.0698522412600806	
505289.48974609375	-1.2131819581805021	
505309.02099609375	-1.1360358559333312	
505328.55224609375	-1.1706301972027855	
505348.08349609375	-1.101994447151158	
505367.61474609375	-1.1934446724388608	
505387.14599609375	-1.1214913274635467	
505406.67724609375	-1.1326942204667196	
505426.20849609375	-1.1673126022790992	
505445.73974609375	-1.1628651018379255	
505465.27099609375	-1.1772173059643076	
505484.80224609375	-1.1128367320104517	
505504.33349609375	-1.117139989194074	
505523.86474609375	-1.1625044936940465	
505543.39599609375	-1.1492821950851515	
505562.92724609375	-1.1366128289635375	
505582.45849609375	-1.1088219613419328	
505601.98974609375	-1.1631295478101034	
505621.52099609375	-1.15690304719246	
505641.05224609375	-1.151710289920603	
505660.58349609375	-1.1238473006702225	
505680.11474609375	-1.145339546045408	
505699.64599609375	-1.1367089911352386	
505719.17724609375	-1.1431999377250597	
505738.70849609375	-1.1235588141551194	
505758.23974609375	-1.120145057059732	
505777.77099609375	-1.071342754921447	
505797.30224609375	-1.1609418584039042	
505816.83349609375	-1.1062736637918549	
505836.36474609375	-1.143584586411864	
505855.89599609375	-1.2268850676479024	
505875.42724609375	-1.034512643159943	
505894.95849609375	-1.139209207599466	
505914.48974609375	-1.1514458439484252	
505934.02099609375	-1.1112740967203096	
505953.55224609375	-1.007587235083648	
505973.08349609375	-1.1588984122552568	
505992.61474609375	-1.081127255892029	
506012.14599609375	-1.1533210062965957	
506031.67724609375	-1.0529998206694708	
506051.20849609375	-1.1427191268665544	
506070.73974609375	-1.0879307295398788	
506090.27099609375	-1.1385360723975586	
506109.80224609375	-1.0737468092139733	
506129.33349609375	-1.1655095615597044	
506148.86474609375	-1.1529123170668663	
506168.39599609375	-1.1319249230931112	
506187.92724609375	-1.198589348624867	
506207.45849609375	-1.1303382472600436	
506226.98974609375	-1.15324888466782	
506246.52099609375	-1.1112500561773844	
506266.05224609375	-1.1598600339722673	
506285.58349609375	-1.1830591578951468	
506305.11474609375	-1.1484648166256926	
506324.64599609375	-1.14959472214318	
506344.17724609375	-1.1661586562186865	
506363.70849609375	-1.141132451033487	
506383.23974609375	-1.1747651705859308	
506402.77099609375	-1.1144234078435191	
506422.30224609375	-1.175967197732194	
